"","Group","Protein","Log2_FC","estimate","estimate1","estimate2","statistic","p.value","parameter","conf.low","conf.high","method","alternative","Abundance","Significance"
"88","CR-A:AL-A","EGFR",0.500948459428914,-53,127.666666666667,180.666666666667,-11.0780549272367,0.00506921149971055,2.26821315944198,-71.4195395548,-34.5804604452,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"89","CR-A:AL-A","ENOA",0.478047296804644,-3.66666666666667,9.33333333333333,13,-1.23759669101863,0.286439661469568,3.82297090352221,-12.0449520640222,4.71161873068891,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"90","CR-A:AL-A","ENPL",1.36923380966572,-6.33333333333333,4,10.3333333333333,-4.35889894354067,0.0139818139377062,3.74093264248705,-10.480016980746,-2.18664968592063,"Welch Two Sample t-test","two.sided","Increased","p-value < 0.05"
"91","CR-A:AL-A","ENPP2",0.485426827170242,-7.33333333333334,18.3333333333333,25.6666666666667,-2.41481371977319,0.097458245406337,2.90368809272919,-17.181724613573,2.51505794690635,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"92","CR-A:AL-A","EST1C",0.154974659976341,-73.3333333333334,646.666666666667,720,-1.81354272384157,0.196283224117504,2.26770012018586,-229.044536578033,82.3778699113665,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"93","CR-A:AL-A","EST2E",0.557481764299049,-8.33333333333333,17.6666666666667,26,-1.88982236504614,0.131891735179091,3.99361022364217,-20.5840347482107,3.91736808154406,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"94","CR-A:AL-A","F13A",-0.744742944757925,16.6666666666667,41.3333333333333,24.6666666666667,7.8086880944303,0.00239526496671201,3.52780692549843,10.4143775053139,22.9189558280195,"Welch Two Sample t-test","two.sided","Decreased","p-value < 0.01"
"95","CR-A:AL-A","F13B",0.429864916956483,-28,80.6666666666667,108.666666666667,-3.53078335435727,0.0573002568357386,2.32666371315065,-57.9175272395464,1.91752723954643,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"96","CR-A:AL-A","FA10",0.20945336562895,-15,96,111,-3.24759526419165,0.050500992241596,2.87640449438202,-30.0629411645919,0.0629411645919327,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"97","CR-A:AL-A","FA11",-0.0544477840223765,0.333333333333334,9,8.66666666666667,0.171498585142509,0.873889685899647,3.27478753541076,-5.5687228931144,6.23538955978107,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"98","CR-A:AL-A","FA12",0.0450239246859954,-3.66666666666666,115.666666666667,119.333333333333,-0.513996244867596,0.634504749169848,3.97543826400076,-23.5211937246215,16.1878603912881,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"99","CR-A:AL-A","FA5",0.220999186036582,-16.3333333333333,98.6666666666667,115,-3.39753870187953,0.0593051626852402,2.39809323208248,-34.0520459895379,1.38537932287122,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"100","CR-A:AL-A","FA7",0.369233809665719,-4.66666666666667,16,20.6666666666667,-1.79251631906054,0.199221715563036,2.27932618683002,-14.6503647372501,5.31703140391681,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"101","CR-A:AL-A","FA9",0.275634442613428,-2.66666666666667,12.6666666666667,15.3333333333333,-1.01600101600152,0.384632126141342,2.99143968871595,-11.0330742507573,5.69974091742398,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
